generacion,individuo,score,config,tiempo_ejecucion
0,0,0.4764262701594678,"{""lc"": true, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": false, ""token_min_filter"": 0.5555555555555556}",0.9419510364532471
0,1,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": false, ""token_min_filter"": 0.5555555555555556}",0.955094575881958
0,2,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [3], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.6666666666666666}",0.8785426616668701
0,3,-inf,"{""lc"": true, ""del_dup"": false, ""token_list"": [-1], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": true, ""token_min_filter"": 0.5555555555555556}",0.5229525566101074
0,4,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [2, 1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.2222222222222222}",1.391036033630371
1,0,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.6666666666666666}",0.9575698375701904
1,1,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [2, 1], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.3333333333333333}",1.1919848918914795
1,2,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [2, 1], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": false, ""token_min_filter"": 0.8888888888888888}",1.0816047191619873
1,3,0.4764262701594678,"{""lc"": true, ""del_dup"": true, ""token_list"": [-1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.3333333333333333}",0.6426582336425781
1,4,0.4764262701594678,"{""lc"": true, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tfidf"", ""del_diac"": true, ""select_conn"": true, ""token_min_filter"": 0.2222222222222222}",0.9417579174041748
2,0,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": false, ""token_min_filter"": 0.4444444444444444}",1.0859603881835938
